YORF	0 hr	9.5 hr	11.5 hr	13.5 hr	15.5 hr	18.5 hr	20.5 hr
YHR070W	0.04	-0.1	-0.32	-0.92	-0.64	-1.25	-1.25
YDL140C	-0.1	0.01	-0.27	-0.62	-0.6	-1	-1.03
YHR047C	-0.06	0.03	-0.29	-0.43	-0.42	-0.64	-0.67
YCR065W	0.04	-0.01	-0.47	-1	-1.15	-1.43	-1.4
YBR158W	0.15	0.15	-0.4	-1.09	-0.97	-1.4	-1.4
YJR030C	0	0.03	-0.07	-0.4	-0.32	-0.6	-0.47
YJL073W	0.03	-0.01	-0.03	-0.47	-0.42	-0.67	-0.62
YOR233W	-0.1	-0.22	-0.1	-0.84	-0.64	-1.22	-1.03
YPR143W	0.07	-0.25	-0.09	-0.74	-0.84	-1.29	-1.18
YBR266C	0.06	-0.36	0.07	-0.97	-1.15	-1.47	-1.56
YHR063C	-0.18	-0.23	-0.07	-0.34	-0.25	-0.64	-0.92
YPL244C	-0.42	-0.29	-0.1	-0.71	-0.58	-1.32	-1.79
YIL085C	-0.1	-0.07	-0.1	-0.27	-0.18	-0.43	-0.71
YPL242C	-0.03	-0.15	-0.13	-0.29	-0.28	-0.52	-0.82
YKR025W	-0.07	-0.36	-0.23	-0.54	-0.69	-1.18	-1.69
YDL144C	-0.01	-0.15	-0.15	-0.23	-0.27	-0.49	-0.67
YPL212C	-0.06	-0.15	-0.25	-0.34	-0.49	-0.79	-1.09
YPR112C	-0.17	-0.23	-0.17	-0.54	-0.62	-1.12	-1.51
YNL111C	-0.09	-0.47	-0.4	-0.74	-0.76	-1.79	-2.12
YOL010W	-0.07	-0.36	-0.49	-0.81	-0.84	-1.74	-2.12
YOR062C	-0.04	-0.17	-0.22	-0.34	-0.43	-0.76	-0.86
YJR071W	-0.06	-0.27	-0.43	-0.67	-0.74	-1.84	-2.25
YIL069C	-0.06	-0.49	-0.42	-0.64	-0.71	-1.94	-2.47
YKR095W	-0.06	-0.2	-0.1	-0.36	-0.32	-0.89	-1.12
YDR449C	-0.07	-0.3	-0.22	-0.67	-0.62	-1.84	-2.25
YMR321C	-0.04	-0.15	-0.23	-0.49	-0.38	-1.36	-1.74
YPL243W	-0.25	-0.1	-0.2	-0.47	-0.42	-1.15	-1.47
YDR522C	-0.27	-0.15	-0.2	-0.27	-0.42	-0.86	-1.06
YIL095W	-0.25	-0.15	-0.12	-0.43	-0.47	-0.92	-0.97
YPL266W	-0.27	-0.3	-0.04	-0.6	-0.56	-1.36	-1.4
YDL073W	-0.23	-0.18	-0.12	-0.38	-0.32	-1	-0.97
YPL245W	-0.36	-0.38	-0.36	-0.71	-0.6	-1.56	-1.74
YNL303W	-0.4	-0.74	-0.34	-0.62	-1.12	-2.56	-2.47
YPR044C	-0.36	-0.47	-0.23	-0.49	-0.54	-1.56	-1.74
YDL094C	-0.18	-0.23	-0.06	-0.2	-0.34	-0.92	-1.12
YPL082C	-0.1	-0.15	-0.06	-0.25	-0.29	-0.71	-0.79
YDL014W	-0.12	-0.34	0	-0.51	-0.54	-1.22	-1.43
YKL009W	-0.15	-0.43	-0.1	-0.79	-1.09	-2.06	-2.56
YEL026W	-0.14	-0.38	0.07	-0.6	-0.97	-1.89	-2.06
YLR285W	0	-0.14	0	-0.34	-0.29	-0.81	-0.89
YGR034W	-0.01	-0.23	-0.14	-0.67	-0.43	-1.64	-1.69
YOR277C	-0.17	-0.34	-0.17	-0.6	-0.3	-1.25	-1.32
YCR009C	-0.07	-0.2	-0.14	-0.27	-0.18	-0.58	-0.67
YMR080C	-0.04	-0.03	-0.49	-0.49	-0.79	-1.32	-1.4
YMR129W	0.03	-0.1	-0.51	-0.51	-0.79	-1.47	-1.32
YHR186C	0.01	-0.06	-0.17	-0.27	-0.36	-0.71	-0.67
YLR084C	0	-0.06	-0.36	-0.54	-0.47	-1.15	-1.12
YLL004W	-0.06	-0.14	-0.4	-0.47	-0.51	-1.18	-1.29
YPR009W	-0.27	-0.17	-0.47	-0.74	-0.71	-1.36	-1.6
YOL021C	-0.14	-0.25	-0.42	-0.79	-0.76	-1.36	-1.51
YPL030W	-0.18	-0.32	-0.18	-0.79	-0.94	-1.29	-1.56
YNR054C	-0.15	-0.4	-0.36	-0.86	-1.03	-1.56	-1.74
YFL057C	-0.03	-0.1	-0.1	-0.3	-0.34	-0.54	-0.67
YGR176W	0	-0.12	-0.17	-0.54	-0.56	-0.84	-0.89
YMR014W	0.01	-0.3	-0.25	-0.97	-0.94	-1.6	-1.69
YDR464W	-0.04	-0.18	-0.14	-0.51	-0.4	-0.79	-0.81
YJR041C	-0.03	-0.58	-0.29	-0.92	-0.97	-2	-2
YLR243W	-0.03	-0.25	-0.12	-0.62	-0.6	-1.29	-1.18
YNL075W	-0.14	-0.32	-0.23	-0.74	-0.94	-1.94	-1.89
YNL221C	-0.22	-0.23	-0.17	-0.49	-0.71	-1.25	-1.25
YJR003C	-0.27	-0.18	-0.15	-0.67	-0.76	-1.56	-1.29
YPR034W	-0.18	-0.15	-0.17	-0.56	-0.6	-1.18	-1.06
YNL120C	-0.14	-0.18	-0.29	-0.69	-0.74	-1.6	-1.29
YDR206W	-0.12	-0.23	-0.34	-0.84	-0.89	-1.69	-1.56
YNL207W	-0.1	-0.1	-0.29	-0.92	-0.97	-1.79	-1.47
YCL046W	0.06	-0.07	-0.22	-0.4	-0.62	-1.36	-1.4
YDR144C	0.14	-0.04	-0.3	-0.86	-1.15	-2.4	-2.74
YOL106W	0	0.03		-0.27	-0.34	-0.71	-0.86
YNL141W	-0.17	-0.04	-0.07	-1.25	-1.18	-2.84	-3.18
YDR060W	-0.04	-0.1	-0.01	-0.81	-0.84	-2.25	-2.4
YKL081W	0.07	-0.15	-0.01	-0.92	-0.71	-2.18	-2.47
YDL167C	0.14	0.08	0.01	-0.6	-0.62	-1.74	-1.89
YAL025C	0.3	-0.1	0	-0.74	-0.81	-2.06	-2.25
YIL066C	0.12	-0.01	-0.04	-0.47	-0.69	-1.43	-1.64
YNL327W	0.12	-0.1	-0.09	-0.62	-0.92	-2	-2.12
YKL181W	0.16	0	-0.07	-0.62	-0.86	-1.89	-1.94
YIL053W	0.26	-0.01	-0.23	-0.94	-1.25	-2.32	-2.94
YPL226W	0.04	0.07	-0.1	-0.84	-1.18	-1.89	-2.47
YNR075W	0.04	0.15	-0.03	-0.47	-0.67	-1.09	-1.4
YNL132W	0.08	0.08	0.03	-0.92	-1.03	-1.94	-2.25
YMR229C	0.04	0.03	0.11	-0.69	-0.89	-1.69	-1.89
YPL012W	0.08	-0.27	-0.15	-1.18	-1.6	-2.94	-3.06
YMR290C	0.12	-0.23	-0.23	-1.15	-1.4	-2.64	-2.94
YIL091C	0.04	-0.03	-0.09	-0.67	-0.69	-1.25	-1.47
YHR052W	0.11	-0.12	-0.15	-0.86	-0.67	-1.47	-1.69
YKL082C	0.07	-0.15	-0.17	-1.09	-0.94	-1.69	-2.12
YAL046C	-0.01	-0.18	-0.01	-0.79	-0.62	-1.22	-1.47
YNL110C	-0.01	-0.18	0.01	-0.92	-0.94	-1.89	-2.25
YJL122W	-0.03	-0.17	0.01	-1	-0.92	-1.69	-2.25
YDR398W	-0.01	-0.09	-0.12	-1.03	-1.12	-2	-2.84
YNR043W	0.12	-0.09	-0.06	-0.62	-0.71	-1.15	-1.64
YPL148C	0.04	-0.04	0	-0.29	-0.34	-0.51	-0.67
YMR049C	0.07	-0.29	-0.2	-0.92	-1.03	-1.64	-2.06
YIR033W	0.04	-0.12	-0.04	-0.36	-0.43	-0.74	-0.94
YMR058W	0.15	-0.18	-0.18	-0.79	-0.86	-1.56	-1.94
YLR009W	0.08	-0.3	-0.23	-0.79	-0.86	-1.79	-2.18
YMR241W	0.04	-0.1	-0.27	-0.67	-0.62	-1.29	-1.51
YDL213C	-0.18	-0.22	0.03	-0.81	-0.69	-1.69	-1.64
YNL182C	0.08	-0.06	0.15	-1.03	-0.97	-1.89	-1.94
YER002W	0.19	0	0.04	-0.94	-0.84	-1.74	-1.51
YLR449W	-0.04	-0.03	0.14	-1.18	-0.97	-2.64	-2.18
YLR087C	-0.04	0.01	-0.09	-0.36	-0.34	-0.89	-0.76
YHR037W	-0.07	0.01	-0.07	-0.42	-0.45	-0.81	-0.81
YNL062C	-0.1	0	0.01	-0.47	-0.64	-1.12	-1.06
YIL090W	-0.1		0	-0.34	-0.49	-0.92	-0.76
YBR245C	0.03	-0.1	0.01	-0.27	-0.42	-0.79	-0.62
YNL256W	0.06	-0.29	0.01	-0.76	-0.94	-1.84	-1.69
YMR239C	0.07	-0.23	0.07	-0.81	-0.94	-1.79	-1.84
YDL112W	-0.01	-0.1	0.01	-0.25	-0.43	-0.64	-0.67
YLR073C	0	-0.12	-0.09	-1	-0.81	-1.15	-1.47
YJL050W	-0.07	-0.12	-0.14	-0.84	-0.74	-1.18	-1.51
YMR128W	-0.18	-0.09	-0.17	-0.92	-0.71	-1.15	-1.51
YNL049C	-0.04	0.04	-0.27	-0.49	-0.6	-0.86	-1.18
YFL022C	0.06	0.07	-0.29	-0.76	-0.92	-1.09	-1.51
YMR093W	0.07	0	-0.45	-1.29	-1.32	-1.84	-2.47
YDL063C	-0.03	-0.03	-0.27	-0.92	-1.06	-1.51	-2.06
YGL226W	-0.01	0	-0.03	-0.23	-0.25	-0.34	-0.51
YPL126W	0.08	0.14	-0.15	-0.89	-1.25	-1.47	-2.18
YMR259C	0.04	0.06	-0.22	-0.62	-0.97	-1.09	-1.51
YEL046C	0.03	0.08	0	-0.69	-1.09	-1.51	-1.74
YIL060W	0.06	0.07	0	-0.23	-0.34	-0.47	-0.58
YGR245C	0.2	0.12	0.01	-1.03	-1.15	-1.51	-1.6
YDR413C	0.04	-0.04	0.01	-0.69	-0.71	-1	-1.29
YPR144C	0.08	0.14	-0.04	-1.22	-1.15	-1.69	-2.12
YLL008W	0.12	0.14	-0.07	-1.25	-0.94	-1.84	-2.06
YGR160W	0.32	0.11	-0.25	-1.47	-1.47	-2.47	-3.18
YCR053W	0.32	0.07	-0.01	-1.03	-0.67	-1.43	-1.69
YOR172W	-0.03	0	-0.03	-0.29	-0.14	-0.4	-0.45
YML016C	-0.03	0.01	-0.1	-0.34	-0.18	-0.67	-0.74
YDL122W	-0.17	0.11	-0.09	-0.25	-0.64	-1.12	-1.22
YPL127C	-0.2	-0.04	-0.14	-0.18	-0.36	-0.69	-0.67
YPR189W	-0.1	-0.07	-0.23	-0.18	-0.42	-0.79	-0.84
YLR256W	0.07	-0.04	-0.18	-0.23	-0.47	-0.92	-0.81
YPR164W	0.03	0	-0.04	-0.06	-0.18	-0.4	-0.34
YNL162W	-0.34	-0.38	-0.34	-0.56	-0.32	-1.29	-2
YIL039W	-0.12	-0.18	-0.34	-0.43	-0.34	-1.15	-1.56
YLR344W	-0.09	-0.18	-0.36	-0.71	-0.51	-1.56	-2.4
YIL148W	-0.12	-0.22	-0.42	-0.51	-0.4	-1.15	-2
YLR272C	-0.14	-0.18	-0.23	-0.23	-0.23	-0.79	-1.4
YHR141C	-0.03	-0.2	-0.22	-0.3	-0.36	-1.22	-2.06
YDR326C	0.03	-0.17	-0.34	-0.25	-0.36	-0.89	-1.47
YNL244C	-0.12	-0.22	-0.15	-0.34	-0.49	-0.92	-1.51
YNL292W	-0.06	-0.2	-0.03	-0.29	-0.42	-0.97	-1.43
YLL047W	0.01	-0.34	-0.34	-0.49	-0.67	-1.12	-1.94
YJR069C	-0.03	-0.34	-0.27	-0.3	-0.43	-0.84	-1.47
YKR043C	-0.1	-0.47	-0.38	-0.42	-0.6	-1.18	-1.89
YLR398C	0	-0.22	-0.14	-0.18	-0.23	-0.42	-0.71
YNL053W	-0.1	-0.36	-0.17	-0.34	-0.4	-0.76	-1.15
YLR244C	0.24	-0.15	-0.25	-0.47	-0.6	-1.12	-1.51
YPR071W	0	-0.09	-0.1	-0.18	-0.34	-0.51	-0.76
YOR370C	-0.03	-0.06	-0.23	-0.29	-0.42	-0.71	-1.43
YEL022W	0.01	-0.15	-0.15	-0.29	-0.51	-0.81	-1.56
YDL083C	0.11	-0.29	-0.18	-0.64	-0.81	-1.18	-2.4
YJR063W	0.03	-0.36	-0.1	-0.54	-0.84	-1.06	-2.06
YEL032W	0.01	-0.1	-0.18	-0.47	-0.62	-0.74	-1.47
YGR095C	-0.01	-0.18	-0.29	-0.43	-0.62	-0.79	-1.43
YCL050C	0.12	-0.1	-0.42	-0.45	-0.81	-0.92	-1.94
YOL098C	0.16	0.01	-0.29	-0.34	-0.49	-0.56	-1.09
YLR101C	0.14	0.01	-0.17	-0.25	-0.3	-0.43	-0.84
YJL012C	0.19	0.08	-0.27	-0.43	-0.58	-0.92	-1.47
YNL126W	0.04	0.01	-0.29	-0.36	-0.54	-0.76	-1.18
YPR033C	-0.1	-0.01	-0.38	-0.67	-0.64	-1.32	-1.79
YPR125W	0.01	-0.04	-0.3	-0.47	-0.51	-1.03	-1.56
YMR125W	0.06	-0.14	-0.18	-0.36	-0.3	-0.6	-1.06
YLR186W	0.07	-0.04	-0.3	-1	-0.69	-1.4	-2.4
YDL064W	-0.06	-0.27	-0.34	-0.62	-0.58	-0.81	-1.6
YLR208W	-0.09	-0.12	-0.34	-0.69		-0.86	-1.69
YNR050C	-0.1	-0.25	-0.64	-0.89	-0.54	-1.18	-2
YML032C	-0.1	-0.12	-0.36	-0.51	-0.42	-0.64	-1.06
YOL064C	-0.18	-0.25	-0.43	-0.51	-0.54	-0.84	-1.47
YNL236W	-0.2	-0.29	-0.51	-0.54	-0.51	-0.92	-1.43
YNL071W	0	-0.2	-0.27	-0.34	-0.25	-0.4	-0.71
YLR466W	-0.06	-0.34	-0.42	-0.34	-0.47	-0.81	-1.06
YLR223C	0.08	-0.27	-0.47	-0.47	-0.69	-1.15	-1.43
YKL083W	0.08	-0.2	-0.3	-0.27	-0.43	-0.84	-1.03
YLL067C	0.04	-0.23	-0.34	-0.22	-0.43	-0.71	-0.97
YLR145W	0.03	-0.18	-0.32	-0.3	-0.36	-0.56	-0.92
YHR158C	0.04	-0.01	-0.17	-0.18	-0.18	-0.32	
YDR389W	0.12	-0.07	-0.56	-0.64	-0.81	-1	-1.15
YPR019W	-0.03	-0.1	-0.51	-0.49	-0.56	-0.84	-0.84
YLL012W	0.06	-0.17	-0.69	-1.18	-1	-1.29	-1.79
YDR433W	-0.1	-0.1	-0.36	-0.67	-0.56	-0.79	-1.12
YOR342C	0.08	-0.23	-0.25	-0.54	-0.58	-0.79	-1.09
YOR146W	-0.01	-0.32	-0.27	-0.79	-0.97	-1.12	-1.84
YIL065C	0	-0.23	-0.36	-0.86	-0.81	-1.12	-1.84
YOL078W	0.01	-0.06	-0.18	-0.29	-0.23	-0.47	-0.64
YBL079W	0.06	-0.18	-0.3	-0.51	-0.47	-0.84	-1.12
YNL123W	-0.04	-0.25	-0.56	-0.81	-0.92	-1.56	-1.79
YNL313C	0.03	-0.29	-0.56	-0.97	-1.15	-1.64	-2.06
YJR054W	0.07	-0.12	-0.36	-0.49	-0.79	-1.09	-1.4
YMR067C	0.07	0.01	-0.29	-0.47	-0.6	-0.97	-1.18
YPL093W	0.03	-0.23	-0.3	-0.92	-1.29	-1.84	-2.18
YPL204W	0.01	-0.07	-0.38	-0.27	-0.47	-0.6	-1.12
YKL015W	0.08	-0.09	-0.29	-0.3	-0.4	-0.4	-1.12
YER113C	0.24	0.25	-0.12	-0.38	-0.47	-0.67	-1
YBR089W	0.04	0.14	-0.27	-0.47	-0.76	-1.25	-1.64
YJR025C	0.15	0.14	-0.07	-0.23		-0.64	-0.79
YKL074C	0.15	0.11	-0.07	-0.27	-0.3	-0.62	-0.74
YER036C	0.25	0.32	-0.32	-0.94	-1.15	-2.18	-2.18
YMR309C	0.34	0.29	-0.22	-0.76	-0.86	-1.36	-1.64
YNL189W	0.21	0.36	-0.3	-0.54	-0.67	-1.06	-1.25
YDL151C	0.06	0.32	-0.3	-0.62	-0.76	-1.06	-1.4
YPR195C	0	0.15	-0.04	-0.18	-0.27	-0.43	-0.45
YOL007C	0.12	0.26	-0.49	-0.56	-0.6	-1.09	-1.18
YLL021W	0.12	-0.1	-0.22	-0.4	-0.43	-1.09	-1
YHR049W	0.08	0.03	-0.27	-0.4	-0.36	-1.56	-1.36
YPR145W	0.2	-0.12	-0.12	-0.43	-0.56	-1.64	-1.47
YDR527W	0.04	0.01	-0.09	-0.42	-0.4	-1.36	-1.15
YDR341C	0.24	0.11	-0.07	-0.69	-0.6	-1.94	-1.69
YDL096C	0.21	0.08	-0.09	-0.22	-0.18	-1.06	-0.89
YJL111W	0.3	0.19	0.06	-0.32	-0.34	-1.56	-1.43
YGR264C	0.41	0.43	0	-0.71	-0.81	-2.56	-2.06
YDL145C	0.07	0.2	-0.09	-0.22	-0.27	-1.03	-1
YDR037W	0.07	0.36	-0.1	-0.56	-0.51	-1.94	-1.94
YDL084W	0.16	0.25	-0.04	-0.36	-0.43	-1.29	-1.47
YPL160W	-0.07	0	-0.34	-0.36	-0.62	-1.84	-2
YLR179C	-0.1	0.01	-0.34	-0.54	-0.58	-1.56	-1.79
YOL061W	-0.12	0	0.11	-0.58	-0.4	-1.47	-1.6
YDR321W	-0.01	0.07	0.24	-0.56	-0.43	-1.84	-2.06
YOR153W	0.2	0.11	0.14	-0.36	-0.74	-1.89	-1.94
YJL177W	0.34	0.14	0.14	-0.42	-0.62	-1.94	-2.4
YNL085W	0.04	0.01	0.01	-0.18	-0.34	-0.89	-1.06
YBR249C	0.15	0.04	0.14	-0.43	-0.6	-2	-2.4
YDR365C	0.03	0.06	0.21	-0.38	-0.62	-1.64	-1.94
YDL060W	0.08	0.08	0.16	-0.42	-0.54	-1.32	-1.79
YHR128W	0.24	0.07	0.24	-0.71	-0.67	-1.89	-2.32
YML075C	0.06	0.03	0.11	-0.22	-0.23	-0.62	-0.69
YDL050C	0.12	0.07	0.19	-0.47	-0.67	-1.56	-1.74
YLR180W	0.19	0.26	0.21	-0.92	-1.06	-2.56	-3.06
YPL211W	0.19	0.07	0.12	-0.54	-0.62	-1.32	-1.64
YMR308C	0.25	0.01	0.11	-0.45	-0.69	-1.47	-1.94
YBR038W	0.03	-0.03	0.06	-0.22	-0.3	-0.58	-0.74
YLR448W	0.34	0.03	-0.22	-0.62	-0.71	-1.89	-2.32
YLL044W	0.29	0.01	-0.17	-0.43	-0.71	-2.12	-2.56
YDL082W	0.19	0.01	-0.12	-0.36	-0.49	-1.74	-2.06
YKL156W	0.01	-0.07	-0.18	-0.29	-0.36	-1.12	-1.47
YNL247W	0	-0.15	-0.22	-0.42	-0.58	-1.56	-2.12
YMR318C	0.04	-0.04	-0.12	-0.43	-0.49	-1.47	-2.12
YOR234C	0.07	0.07	-0.12	-0.36	-0.49	-1.69	-2.32
YNL096C	0.12	-0.03	-0.32	-0.49	-0.4	-2.18	-2.84
YOR254C	-0.01	0	-0.22	-0.18	-0.23	-1.22	-1.69
YGL030W	-0.09	-0.15	0.04	-0.43	-0.34	-1.43	-2.06
YDR447C	0.06	-0.18	-0.23	-0.51	-0.3	-1.79	-2.06
YHR089C	-0.2	-0.34	-0.14	-0.71	-0.47	-2.18	-2.64
YKR094C	-0.07	-0.2	-0.12	-0.4	-0.36	-1.51	-1.84
YDR064W	-0.06	-0.12	-0.07	-0.56	-0.56	-2.12	-2.4
YDL208W	0.04	-0.15	0.04	-0.58	-0.49	-2.12	-2.64
YNL087W	0.08	-0.09	0.01	-0.32	-0.17	-1.32	-1.43
YLR212C	0.03	-0.23	0.11	-0.36	-0.64	-1.64	-2.06
YPL198W	0.12	-0.2	0.01	-0.6	-0.62	-1.79	-2.18
YER129W	0.06	-0.18	0.01	-0.3	-0.49	-1.06	-1.18
YLR406C	0.11	-0.09	0.06	-0.14	-0.36	-0.84	-1.25
YBR191W	0.07	-0.25	0.06	-0.23	-0.56	-1.74	-2.64
YBR189W	-0.03	-0.3	0.03	-0.27	-0.56	-2	-2.64
YPL142C	0.07	-0.36	0.12	-0.12	-0.42	-1.64	-2.25
YFR057W	0	-0.04	0.06	-0.1	-0.18	-1	-1.25
YKR013W	-0.04	-0.07	0.29	-0.14	-0.23	-1.4	-1.32
YDR062W	-0.06	0.06	0.19	-0.1	-0.27	-1.15	-1.32
YGR060W	0.11	0	0.38	-0.43	-0.43	-1.4	-1.6
YJR032W	0.07	-0.1	0.2	-0.3	-0.27	-0.86	-0.86
YPL143W	0.16	-0.14	0.38	-0.36	-0.3	-1.51	-1.36
YPL034W	0.06	-0.27	0.12	-0.3	-0.27	-1.15	-1.06
YGL097W	0.11	0.03	0	-0.1	-0.06	-0.62	-0.62
YGR061C	0.12	0.15	0.04	-0.18	-0.14	-1.29	-1.4
YBL076C	0.26	0.36	0.16	-0.23	-0.4	-1.79	-1.89
YGL008C	0.24	0.24	0.12	0	-0.3	-1.43	-1.51
YIL078W	0.12	0.12	-0.01	-0.1	-0.27	-0.97	-1.25
YER105C	-0.01	0.06	-0.06	-0.18	-0.03	-0.56	-0.69
YNL065W	0	0.29	-0.22	-1	-0.22	-2.18	-2.4
YJR024C	-0.12	0.06	-0.06	-0.49	-0.23	-0.74	-1.22
YHR078W	0.04	-0.06	-0.03	-0.29	-0.09	-0.54	-0.67
YDR180W	0.06	0.04	0.01	-0.43	-0.1	-0.69	-0.86
YMR146C	0.16	0.11	0.07	-0.51	-0.27	-1.06	-1.29
YOL077C	0.26	0.03	0.07	-0.81	-0.42	-1.43	-2.25
YGR285C	0.01	-0.09	0.14	-0.69	-0.18	-1.29	-1.94
YPL131W	0.06	0.08	0.15	-0.84	-0.23	-1.64	-2.56
YLR249W	0.06	0.03	0.12	-0.76	-0.06	-1.47	-2.74
YLR060W	-0.09	0.21	0.03	-0.43	-0.42	-1.12	-2.25
YLR044C	0.08	-0.15	-0.1	-0.2	-0.56	-1.22	-2.25
YJL080C	0.19	0.01	-0.23	-0.3	-0.4	-1.15	-1.84
YOL040C	0.11	0.06	-0.14	-0.42	-0.56	-1.51	-2.64
YJR145C	0.07	0.06	-0.25	-0.56	-0.42	-1.56	-2.64
YDL040C	0.06	0.11	-0.07	-0.36	-0.38	-0.89	-1.43
YPR104C	-0.04	-0.01	-0.1	-0.25	-0.17	-0.56	-1.03
YMR001C	0.04	-0.03	-0.27	-0.27	-0.3	-0.79	-1.56
YPR069C	-0.06	-0.06	-0.1	-0.09	-0.18	-0.36	-0.79
YLR100W	0.24	-0.01	-0.1	-0.14	-0.32	-0.56	-0.84
YPL106C	0.3	0.19	0.07	-0.27	-0.38	-0.36	-0.67
YKL211C	0.34	0.24	0.2	-0.36	-0.56	-0.58	-0.89
YDL110C	0.14	0.07	0.15	-0.17	-0.29	-0.25	-0.43
YGL157W	0.21	0.14	0.2	-0.43	-0.71	-0.6	-0.84
YGR055W	0.19	0.12	0.08	-0.36	-0.67	-0.47	-0.84
YHR077C	0.12	0.16	0.11	-0.15	-0.34	-0.42	-0.27
YMR101C	0.21	0.19	0.12	-0.18	-0.4	-0.51	-0.43
YCL020W	0.34	0.38	0.11	-0.34	-0.62	-0.76	-0.86
YMR011W	0.24	0.43	0.54	-0.3	-0.84	-1.22	-1.36
YMR246W	0.26	0.5	0.5	-0.56	-0.79	-1.29	-1.47
YOL022C	0.36	0.21	0.29	-0.42	-0.51	-0.84	-1.12
YER118C	0.34	0.21	0.34	-0.38	-0.58	-0.84	-1
YAR071W	0.5	0.38	0.4	-0.56	-1.22	-1.47	-1.84
YDL051W	0.12	0.48	0.24	-0.51	-0.84	-1.36	-1.47
YDR492W	0.08	0.24	0.41	-0.42	-0.56	-1.09	-1.25
YDR361C	0.2	0.08	0.38	-0.47	-0.74	-1.29	-1.51
YDR502C	0.3	0.16	0.56	-0.56	-0.89	-1.36	-1.51
YER110C	0.24	0.08	0.58	-0.6	-0.86	-1.94	-1.69
YDR165W	0.32	0.26	0.4	-0.69	-0.97	-2	-1.6
YPL019C	0.36	0.25	0.4	-0.56	-0.47	-1.36	-1.12
YER006W	0.45	0.12	0.52	-0.74	-0.74	-1.51	-1.51
YER025W	0.5	0.04	0.38	-0.49	-0.6	-1.4	-1.29
YOR335C	0.45	0.45	0.06	-0.67	-0.71	-1.74	-1.6
YJR016C	0.34	0.48	0.15	-0.58	-0.56	-1.56	-1.32
YOR355W	0.29	0.36	0.24	-0.62	-0.56	-1.36	-1.15
YHR215W	0.48	0.54	0.26	-0.74	-0.94	-1.94	-1.4
YDR406W	0.08	0.04	0.01	-0.12	-0.3	-0.45	-0.42
YNL206C	0.19	0.06	-0.03	-0.23	-0.43	-0.74	-0.76
YBL024W	0.34	-0.07	0.16	-0.58	-0.84	-1.6	-1.79
YJL070C	0.08	0.03	0.04	-0.1	-0.1	-0.17	-0.18
YJL069C	0.38	0.16	0.16	-0.89	-0.81	-1.22	-1.12
YIL068C	0.12	0.03	0.03	-0.25	-0.27	-0.42	-0.3
YLR221C	0.38	0.07	0.14	-0.62	-0.67	-1.29	-1
YDL195W	0.25	0.16	0.04	-0.47	-0.74	-1	-0.86
YNL022C	0.16	0.41	0.26	-0.64	-0.56	-0.84	-0.76
YGL039W	0.21	0.45	0.16	-0.81	-0.79	-1.47	-0.97
YNL308C	0.03	0.12	0.21	-0.97	-0.71	-1.32	-1.22
YLR397C	0.08	0.3	0.21	-0.84	-0.69	-1.18	-1.09
YLR373C	0.03	0.12	0.2	-0.36	-0.22	-0.56	-0.54
YNR013C	-0.06	0.19	0.25	-0.42	-0.36	-0.74	-0.69
YHR007C	0.09	0.16	0.4	-0.17	-0.28	-1.01	-0.89
YKR012C	0.15	0.25	0.32	-0.12	-0.23	-1	-0.89
YML123C	0.5	0.5	0.54	-0.56	-0.67	-2.32	-1.69
YBL100W-B	0.24	0.21	0.07	-0.15	-0.43	-1.09	-0.94
YHR098C	0.04	0.08	0.1	-0.12	-0.3	-1.06	-0.94
YER070W	0.21	0.12	0.24	-0.25	-0.71	-1.64	-1.4
YEL031W	0.08	0.11	0.15	-0.17	-0.43	-1.22	-0.84
YNL013C	0.14	0.04	0.25	-0.42	-0.69	-2.06	-1.47
YPL163C	0.24	0.07	0.06	-0.34	-0.42	-1.84	-1
YLR098C	0.14	-0.01	0.16	-0.03	-0.32	-1.18	-0.71
YBR093C	0.36	0.24	0.92	-0.27	-0.71	-1.43	-1.43
YER052C	0.48	0.29	0.69	-0.18	-0.64	-1.25	-1.47
YEL055C	0.26	0.38	0.6	-0.25	-0.49	-0.92	-1.29
YGR124W	0.5	0.67	0.56	-0.36	-0.51	-1.36	-1.64
YER043C	0.54	0.4	0.69	-0.6	-0.43	-1	-1.56
YDR091C	0.45	0.3	0.5	-0.42	-0.47	-0.89	-1.25
YFL023W	0.34	0.2	0.41	-0.51	-0.42	-0.71	-0.97
YPR041W	0.24	0.11	0.3	-0.22	-0.29	-0.4	-0.94
YER138C	0.19	0.15	0.12	-0.12	-0.34	-0.45	-0.74
YLR017W	0.24	0.2	0.16	-0.43	-0.67	-0.79	-1.36
YBL039C	0.14	0.36	0.24	-0.56	-1.12	-1.29	-1.84
YER049W	0.06	0.3	0.06	-0.49	-0.84	-1	-1.6
YBR048W	0.12	0.2	0.07	-0.42	-1	-1.51	-2.47
YBR092C	0.07	0.07	0.26	-0.47	-0.92	-1.51	-2.12
YBR259W	0	0.08	0.07	-0.23	-0.43	-0.76	-0.84
YHR023W	0	0.04		-0.07	-0.3	-0.45	-0.54
YDL036C	0.08	0.15	0.3	-0.1	-0.42	-0.36	-0.81
YEL042W	0.16	0.2	0.54	-0.22	-0.56	-0.67	-1.36
YGL028C	0.19	0.14	0.52	-0.27	-0.67	-0.92	-1.43
YER072W	0.06	0.08	0.34	-0.1	-0.3	-0.56	-0.92
YNL139C	-0.01	0.08	0.16	-0.17	-0.3	-0.47	-0.67
